cliente_id,nombre_cliente,segmento_cliente,ciudad,edad,ingreso_estimado,producto,saldo_producto,cupo_credito,fecha_vencimiento,fecha_movimiento,categoria_consumo,monto_consumo,canal,estado_producto,cupo_credito_estado,aplica_fecha_vencimiento,primer_movimiento_cliente_producto,categoria_saldo
C002010,Cliente 2010,PREMIUM,Ambato,35,4058.22,Cuenta Corriente,6441.1,,,2025-08-20,NO APLICA,0.0,ATM,Activo,NO APLICA,NO,2025-05-03,VALIDADO - HISTÓRICO DISPONIBLE
C002115,Cliente 2115,JOVEN,Guayaquil,18,703.16,Tarjeta de Crédito,0.0,1000.0,2027-04-26,2026-06-14,HEALTH,10.65,POS,Activo,CON CUPO,SI,2025-02-02,VALIDADO - HISTÓRICO DISPONIBLE
C001604,Cliente 1604,MASS,Guayaquil,21,1058.16,Crédito Vehicular,23759.75,,2030-08-21,2026-02-25,NO APLICA,0.0,Branch,Activo,NO APLICA,SI,2026-02-25,VALIDADO - HISTÓRICO DISPONIBLE
C002190,Cliente 2190,MASS,Quito,38,1141.09,Cuenta de Ahorros,2527.68,,,2025-06-09,NO APLICA,0.0,Branch,Activo,NO APLICA,NO,2025-06-09,VALIDADO - HISTÓRICO DISPONIBLE
C002059,Cliente 2059,MASS,Quito,59,514.32,Tarjeta de Crédito,358.44,1500.0,2029-01-16,2025-06-30,TECHNOLOGY,63.87,App,Activo,CON CUPO,SI,2025-03-03,VALIDADO - HISTÓRICO DISPONIBLE
C000154,Cliente 0154,PREMIUM,Quito,34,2386.12,Tarjeta de Crédito,347.24,5800.0,2026-10-13,2026-01-25,TRAVEL,387.56,App,Activo,CON CUPO,SI,2025-04-05,VALIDADO - HISTÓRICO DISPONIBLE
C000801,Cliente 0801,MASS,Cuenca,39,1308.02,Tarjeta de Crédito,0.0,2200.0,2029-08-21,2026-05-14,STREAMING,42.87,POS,Activo,CON CUPO,SI,2025-02-26,VALIDADO - HISTÓRICO DISPONIBLE
C000873,Cliente 0873,MASS,Guayaquil,53,599.16,Crédito Hipotecario,74186.47,,2027-05-18,2025-10-24,NO APLICA,0.0,Branch,Activo,NO APLICA,SI,2025-10-24,VALIDADO - HISTÓRICO DISPONIBLE
C001939,Cliente 1939,MASS,Guayaquil,18,616.4,Tarjeta de Crédito,427.56,1500.0,2028-10-25,2026-02-15,ENTERTAINMENT,51.99,POS,Activo,CON CUPO,SI,2025-01-09,VALIDADO - HISTÓRICO DISPONIBLE
C001780,Cliente 1780,AFFLUENT,Quito,51,3527.59,Tarjeta de Crédito,2240.35,7100.0,2029-12-07,2026-06-13,FOOD,116.85,POS,Activo,CON CUPO,SI,2025-01-21,VALIDADO - HISTÓRICO DISPONIBLE
C001250,Cliente 1250,PYME,Guayaquil,35,2916.91,Tarjeta de Crédito,1244.39,7500.0,2029-08-03,2025-10-19,FOOD,184.94,POS,Activo,CON CUPO,SI,2025-01-26,VALIDADO - HISTÓRICO DISPONIBLE
C000919,Cliente 0919,JOVEN,Quito,46,1045.75,Tarjeta de Crédito,872.95,2000.0,2028-07-19,2026-04-26,ENTERTAINMENT,189.79,POS,Activo,CON CUPO,SI,2025-02-11,VALIDADO - HISTÓRICO DISPONIBLE
C001262,Cliente 1262,AFFLUENT,Guayaquil,42,1949.59,Crédito de Consumo,2046.82,,2027-11-12,2025-10-22,NO APLICA,0.0,App,Activo,NO APLICA,SI,2025-04-25,VALIDADO - HISTÓRICO DISPONIBLE
C001281,Cliente 1281,PREMIUM,Guayaquil,50,5937.85,Tarjeta de Crédito,3745.24,11300.0,2028-06-03,2025-03-16,HEALTH,302.17,POS,Activo,CON CUPO,SI,2025-03-16,VALIDADO - HISTÓRICO DISPONIBLE
C000224,Cliente 0224,JOVEN,Quito,29,503.52,Tarjeta de Crédito,357.5,1000.0,2029-10-22,2026-07-09,EDUCATION,44.73,POS,Activo,CON CUPO,SI,2025-02-01,VALIDADO - HISTÓRICO DISPONIBLE
C001849,Cliente 1849,MASS,Loja,34,529.01,Crédito Vehicular,18607.73,,2028-08-30,2025-10-22,NO APLICA,0.0,Branch,Activo,NO APLICA,SI,2025-09-28,VALIDADO - HISTÓRICO DISPONIBLE
C002126,Cliente 2126,AFFLUENT,Guayaquil,31,2710.74,Tarjeta de Crédito,410.12,7800.0,2028-10-09,2025-09-06,ENTERTAINMENT,130.28,Web,Activo,CON CUPO,SI,2025-04-01,VALIDADO - HISTÓRICO DISPONIBLE
C002093,Cliente 2093,AFFLUENT,Quito,30,1882.98,Tarjeta de Crédito,1818.49,4400.0,2030-10-01,2026-05-06,HEALTH,153.95,POS,Activo,CON CUPO,SI,2025-02-25,VALIDADO - HISTÓRICO DISPONIBLE
C001045,Cliente 1045,JOVEN,Guayaquil,23,1076.74,Crédito de Consumo,4992.8,,2031-07-19,2026-04-24,NO APLICA,0.0,App,Activo,NO APLICA,SI,2025-06-10,VALIDADO - HISTÓRICO DISPONIBLE
C000617,Cliente 0617,PREMIUM,Guayaquil,18,3236.15,Tarjeta de Crédito,740.32,7700.0,2026-12-29,2026-08-28,SUPERMARKET,67.38,POS,Activo,CON CUPO,SI,2025-03-26,VALIDADO - HISTÓRICO DISPONIBLE
C000716,Cliente 0716,MASS,Guayaquil,19,913.03,Tarjeta de Crédito,561.02,1400.0,2027-02-05,2025-10-09,ENTERTAINMENT,17.24,App,Activo,CON CUPO,SI,2025-03-05,VALIDADO - HISTÓRICO DISPONIBLE
C000508,Cliente 0508,AFFLUENT,Quito,35,1331.37,Tarjeta de Crédito,1407.41,2000.0,2028-08-31,2025-05-25,ENTERTAINMENT,79.19,POS,Activo,CON CUPO,SI,2025-02-13,VALIDADO - HISTÓRICO DISPONIBLE
C001134,Cliente 1134,MASS,Manta,34,1105.86,Tarjeta de Crédito,616.48,2100.0,2027-10-17,2026-03-15,TECHNOLOGY,52.29,POS,Activo,CON CUPO,SI,2025-01-07,VALIDADO - HISTÓRICO DISPONIBLE
C000786,Cliente 0786,PREMIUM,Quito,35,4708.36,Crédito de Consumo,17491.21,,2032-05-05,2026-01-20,NO APLICA,0.0,Web,Activo,NO APLICA,SI,2025-02-20,VALIDADO - HISTÓRICO DISPONIBLE
C002037,Cliente 2037,MASS,Guayaquil,49,852.66,Tarjeta de Crédito,937.87,2400.0,2030-09-18,2025-01-21,TECHNOLOGY,36.85,POS,Activo,CON CUPO,SI,2025-01-21,VALIDADO - HISTÓRICO DISPONIBLE
C000312,Cliente 0312,MASS,Quito,21,901.93,Crédito Vehicular,26829.37,,2031-03-24,2026-01-29,NO APLICA,0.0,Branch,Activo,NO APLICA,SI,2025-04-07,VALIDADO - HISTÓRICO DISPONIBLE
C000066,Cliente 0066,MASS,Cuenca,18,1104.18,Tarjeta de Crédito,429.3,2100.0,2030-04-23,2025-04-27,ENTERTAINMENT,59.63,Branch,Activo,CON CUPO,SI,2025-03-06,VALIDADO - HISTÓRICO DISPONIBLE
C000488,Cliente 0488,JOVEN,Manta,47,648.72,Tarjeta de Crédito,738.49,1800.0,2027-11-08,2026-01-31,FOOD,67.58,Web,Activo,CON CUPO,SI,2025-01-12,VALIDADO - HISTÓRICO DISPONIBLE
C000726,Cliente 0726,MASS,Ambato,33,497.7,Tarjeta de Crédito,348.83,1100.0,2030-05-06,2025-10-15,TRAVEL,41.86,POS,Activo,CON CUPO,SI,2025-03-29,VALIDADO - HISTÓRICO DISPONIBLE
C000538,Cliente 0538,MASS,Guayaquil,44,773.91,Cuenta de Ahorros,3396.15,,,2026-07-05,NO APLICA,0.0,Branch,Activo,NO APLICA,NO,2026-04-12,VALIDADO - HISTÓRICO DISPONIBLE
C000100,Cliente 0100,MASS,Cuenca,46,870.1,Tarjeta de Crédito,473.4,2000.0,2029-10-22,2025-09-10,STREAMING,38.74,Branch,Activo,CON CUPO,SI,2025-03-30,VALIDADO - HISTÓRICO DISPONIBLE
C001889,Cliente 1889,MASS,Quito,23,1637.06,Cuenta Corriente,229.56,,,2026-01-21,NO APLICA,0.0,Web,Activo,NO APLICA,NO,2026-01-21,VALIDADO - HISTÓRICO DISPONIBLE
C001649,Cliente 1649,PYME,Quito,35,2370.33,Tarjeta de Crédito,3145.42,5800.0,2027-08-27,2026-03-21,ENTERTAINMENT,52.86,POS,Activo,CON CUPO,SI,2025-04-29,VALIDADO - HISTÓRICO DISPONIBLE
C000012,Cliente 0012,MASS,Cuenca,33,929.56,Tarjeta de Crédito,808.79,1400.0,2028-02-12,2026-06-22,TECHNOLOGY,30.01,Web,Activo,CON CUPO,SI,2025-01-13,VALIDADO - HISTÓRICO DISPONIBLE
C001170,Cliente 1170,AFFLUENT,Loja,46,1729.21,Cuenta de Ahorros,5115.3,,,2026-08-01,NO APLICA,0.0,Web,Activo,NO APLICA,NO,2025-10-03,VALIDADO - HISTÓRICO DISPONIBLE
C001598,Cliente 1598,PREMIUM,Guayaquil,45,3764.87,Tarjeta de Crédito,3984.07,9000.0,2029-06-15,2026-04-02,ENTERTAINMENT,243.77,App,Activo,CON CUPO,SI,2025-01-06,VALIDADO - HISTÓRICO DISPONIBLE
C001808,Cliente 1808,PREMIUM,Quito,18,3833.19,Tarjeta de Crédito,1375.77,4400.0,2029-12-07,2025-03-13,STREAMING,326.71,POS,Activo,CON CUPO,SI,2025-03-13,VALIDADO - HISTÓRICO DISPONIBLE
C001122,Cliente 1122,AFFLUENT,Quito,21,2472.84,Tarjeta de Crédito,2321.09,6500.0,2027-04-01,2025-07-07,FOOD,120.15,Web,Activo,CON CUPO,SI,2025-06-21,VALIDADO - HISTÓRICO DISPONIBLE
C002049,Cliente 2049,AFFLUENT,Quito,28,1812.53,Crédito Hipotecario,89658.32,,2031-01-19,2025-05-10,NO APLICA,0.0,Branch,Activo,NO APLICA,SI,2025-05-10,VALIDADO - HISTÓRICO DISPONIBLE
C000957,Cliente 0957,JOVEN,Quito,67,892.29,Tarjeta de Crédito,279.62,1700.0,2026-09-19,2025-09-28,HEALTH,265.34,POS,Activo,CON CUPO,SI,2025-04-07,VALIDADO - HISTÓRICO DISPONIBLE
C001410,Cliente 1410,AFFLUENT,Quito,43,4201.04,Tarjeta de Crédito,3358.77,8500.0,2027-11-06,2025-03-30,SUPERMARKET,46.58,POS,Activo,CON CUPO,SI,2025-03-30,VALIDADO - HISTÓRICO DISPONIBLE
C000600,Cliente 0600,JOVEN,Guayaquil,28,350.0,Tarjeta de Crédito,344.01,700.0,2026-09-24,2025-01-09,TRAVEL,11.77,POS,Activo,CON CUPO,SI,2025-01-09,VALIDADO - HISTÓRICO DISPONIBLE
C001905,Cliente 1905,AFFLUENT,Guayaquil,37,2954.87,Tarjeta de Crédito,892.45,6200.0,2029-05-08,2025-01-04,FOOD,518.98,POS,Activo,CON CUPO,SI,2025-01-04,VALIDADO - HISTÓRICO DISPONIBLE
C002010,Cliente 2010,PREMIUM,Ambato,35,4058.22,Cuenta Corriente,6441.1,,,2026-04-03,NO APLICA,0.0,Web,Activo,NO APLICA,NO,2025-05-03,VALIDADO - HISTÓRICO DISPONIBLE
C002157,Cliente 2157,AFFLUENT,Quito,22,2194.82,Tarjeta de Crédito,1622.18,5800.0,2028-04-17,2026-05-25,FUEL,615.8,Web,Activo,CON CUPO,SI,2025-03-23,VALIDADO - HISTÓRICO DISPONIBLE
C000542,Cliente 0542,MASS,Cuenca,43,1125.96,Crédito Hipotecario,59041.77,,2028-05-03,2025-12-04,NO APLICA,0.0,Web,Activo,NO APLICA,SI,2025-03-29,VALIDADO - HISTÓRICO DISPONIBLE
C000348,Cliente 0348,AFFLUENT,Guayaquil,43,4111.28,Tarjeta de Crédito,1939.99,6700.0,2029-10-22,2025-11-01,FOOD,255.25,App,Activo,CON CUPO,SI,2025-02-04,VALIDADO - HISTÓRICO DISPONIBLE
C002185,Cliente 2185,PREMIUM,Quito,47,3532.66,Tarjeta de Crédito,0.0,7700.0,2030-05-09,2025-01-04,STREAMING,136.54,POS,Activo,CON CUPO,SI,2025-01-04,VALIDADO - HISTÓRICO DISPONIBLE
C001003,Cliente 1003,MASS,Quito,50,1222.3,Tarjeta de Crédito,921.48,3500.0,2029-09-11,2026-07-10,EDUCATION,53.51,App,Activo,CON CUPO,SI,2025-03-01,VALIDADO - HISTÓRICO DISPONIBLE
C001233,Cliente 1233,PREMIUM,Guayaquil,49,5660.37,Tarjeta de Crédito,11158.01,16100.0,2028-04-07,2026-01-15,HEALTH,874.17,Web,Activo,CON CUPO,SI,2025-01-04,VALIDADO - HISTÓRICO DISPONIBLE
C000273,Cliente 0273,MASS,Loja,37,947.93,Tarjeta de Crédito,203.08,2200.0,2030-02-26,2026-07-14,OTHERS,103.12,App,Activo,CON CUPO,SI,2025-01-12,VALIDADO - HISTÓRICO DISPONIBLE
C001024,Cliente 1024,JOVEN,Quito,23,593.97,Tarjeta de Crédito,289.88,1000.0,2028-06-15,2025-03-20,FOOD,74.39,App,Activo,CON CUPO,SI,20/04/2025,VALIDADO - HISTÓRICO DISPONIBLE
C002085,Cliente 2085,AFFLUENT,Guayaquil,33,2232.71,Crédito Hipotecario,77732.04,,2029-09-13,2025-08-08,NO APLICA,0.0,Branch,Activo,NO APLICA,SI,2025-08-08,VALIDADO - HISTÓRICO DISPONIBLE
C000198,Cliente 0198,MASS,Guayaquil,52,1269.3,Crédito Vehicular,24267.54,,2027-03-11,2026-07-08,NO APLICA,0.0,Web,Activo,NO APLICA,SI,2026-07-08,VALIDADO - HISTÓRICO DISPONIBLE
C000586,Cliente 0586,PREMIUM,Quito,42,3325.94,Tarjeta de Crédito,0.0,8400.0,2029-03-29,2025-05-17,TRAVEL,174.64,POS,Activo,CON CUPO,SI,2025-05-17,VALIDADO - HISTÓRICO DISPONIBLE
C001414,Cliente 1414,PREMIUM,Guayaquil,54,3373.15,Tarjeta de Crédito,5402.58,8900.0,2028-08-30,2025-12-12,SUPERMARKET,34.14,App,Activo,CON CUPO,SI,2025-01-06,VALIDADO - HISTÓRICO DISPONIBLE
C001532,Cliente 1532,JOVEN,Guayaquil,28,998.28,Tarjeta de Crédito,363.65,2700.0,2026-11-05,2025-12-26,FOOD,16.98,Branch,Activo,CON CUPO,SI,2025-01-08,VALIDADO - HISTÓRICO DISPONIBLE
C000510,Cliente 0510,MASS,Quito,29,880.46,Tarjeta de Crédito,1456.45,2600.0,2026-10-30,2025-11-01,OTHERS,42.4,POS,Activo,CON CUPO,SI,2025-03-31,VALIDADO - HISTÓRICO DISPONIBLE
C000744,Cliente 0744,MASS,Guayaquil,18,807.72,Tarjeta de Crédito,663.07,1300.0,2027-07-31,2025-04-20,ENTERTAINMENT,41.7,POS,Activo,CON CUPO,SI,2025-01-25,VALIDADO - HISTÓRICO DISPONIBLE
C000074,Cliente 0074,MASS,Ambato,49,1221.2,Tarjeta de Crédito,109.91,1500.0,2027-10-04,2026-05-26,ENTERTAINMENT,39.01,Web,Activo,CON CUPO,SI,2025-01-10,VALIDADO - HISTÓRICO DISPONIBLE
C000484,Cliente 0484,PREMIUM,Guayaquil,39,7416.87,Tarjeta de Crédito,2392.47,11600.0,2027-09-06,2025-10-27,SUPERMARKET,2049.23,POS,Activo,CON CUPO,SI,2025-02-27,VALIDADO - HISTÓRICO DISPONIBLE
C002107,Cliente 2107,MASS,Guayaquil,41,803.69,Tarjeta de Crédito,1129.59,1600.0,2028-02-27,2026-04-24,STREAMING,23.96,POS,Activo,CON CUPO,SI,2025-06-02,VALIDADO - HISTÓRICO DISPONIBLE
C001420,Cliente 1420,MASS,Manta,33,923.03,Tarjeta de Crédito,387.47,2400.0,2026-10-22,2026-05-12,HEALTH,69.3,Web,Activo,CON CUPO,SI,11/07/2025,VALIDADO - HISTÓRICO DISPONIBLE
C002065,Cliente 2065,MASS,Quito,28,1069.4,Crédito Hipotecario,94940.23,,2026-12-24,2025-09-23,NO APLICA,0.0,App,Activo,NO APLICA,SI,2025-09-23,VALIDADO - HISTÓRICO DISPONIBLE
C000665,Cliente 0665,PREMIUM,Quito,42,533.87,Tarjeta de Crédito,279.51,1200.0,2027-07-24,2025-11-14,HEALTH,37.69,Web,Activo,CON CUPO,SI,2025-01-11,VALIDADO - HISTÓRICO DISPONIBLE
C001035,Cliente 1035,MASS,Quito,48,1002.62,Tarjeta de Crédito,1128.09,2200.0,2029-07-10,2026-03-11,TRAVEL,53.2,App,Activo,CON CUPO,SI,2025-01-09,VALIDADO - HISTÓRICO DISPONIBLE
C000992,Cliente 0992,AFFLUENT,Guayaquil,37,2331.23,Tarjeta de Crédito,2096.57,4100.0,2028-11-23,2025-04-14,HEALTH,65.25,POS,Activo,CON CUPO,SI,2025-04-04,VALIDADO - HISTÓRICO DISPONIBLE
C001012,Cliente 1012,PYME,Guayaquil,36,5911.6,Tarjeta de Crédito,0.0,6300.0,2030-04-16,2025-11-27,TRAVEL,402.07,POS,Activo,CON CUPO,SI,2025-02-05,VALIDADO - HISTÓRICO DISPONIBLE
C001286,Cliente 1286,PREMIUM,Guayaquil,42,7075.74,Tarjeta de Crédito,0.0,16400.0,2027-09-29,2025-01-27,FUEL,103.41,POS,Activo,CON CUPO,SI,2025-01-27,VALIDADO - HISTÓRICO DISPONIBLE
C001830,Cliente 1830,MASS,Quito,29,1387.32,Tarjeta de Crédito,581.79,4100.0,2027-10-08,2025-03-01,FUEL,126.93,POS,Activo,CON CUPO,SI,2025-02-04,VALIDADO - HISTÓRICO DISPONIBLE
C001156,Cliente 1156,AFFLUENT,Cuenca,22,2024.98,Cuenta de Ahorros,10550.82,,,2025-03-10,NO APLICA,0.0,Web,Activo,NO APLICA,NO,2025-03-10,VALIDADO - HISTÓRICO DISPONIBLE
C000081,Cliente 0081,MASS,Guayaquil,24,956.2,Crédito Hipotecario,93280.67,,2030-05-17,2026-07-18,NO APLICA,0.0,Branch,Activo,NO APLICA,SI,2025-08-08,VALIDADO - HISTÓRICO DISPONIBLE
C001551,Cliente 1551,JOVEN,Quito,25,780.41,Tarjeta de Crédito,1028.84,2200.0,2028-07-20,2025-10-27,TECHNOLOGY,30.31,App,Activo,CON CUPO,SI,2025-01-22,VALIDADO - HISTÓRICO DISPONIBLE
C000431,Cliente 0431,MASS,Guayaquil,46,943.23,Tarjeta de Crédito,1312.74,2800.0,2030-04-01,2025-05-06,FOOD,15.35,Branch,Activo,CON CUPO,SI,2025-01-09,VALIDADO - HISTÓRICO DISPONIBLE
C001311,Cliente 1311,JOVEN,Ambato,27,459.76,Cuenta Corriente,2166.81,,,2025-02-05,NO APLICA,0.0,Web,Activo,NO APLICA,NO,2025-01-27,VALIDADO - HISTÓRICO DISPONIBLE
C000793,Cliente 0793,MASS,Quito,48,986.32,Tarjeta de Crédito,674.77,2300.0,2030-08-14,2025-11-17,HEALTH,49.73,Web,Activo,CON CUPO,SI,2025-03-04,VALIDADO - HISTÓRICO DISPONIBLE
C000754,Cliente 0754,MASS,Guayaquil,54,1515.54,Crédito de Consumo,3283.7,,2028-01-23,2025-05-28,NO APLICA,0.0,ATM,Activo,NO APLICA,SI,2025-05-04,VALIDADO - HISTÓRICO DISPONIBLE
C001570,Cliente 1570,MASS,Manta,47,802.03,Tarjeta de Crédito,203.22,1000.0,2029-11-21,2026-07-29,TRAVEL,77.45,POS,Activo,CON CUPO,SI,2025-04-17,VALIDADO - HISTÓRICO DISPONIBLE
C000008,Cliente 0008,PYME,Ambato,44,3050.52,Cuenta Corriente,6341.33,,,2025-08-16,NO APLICA,0.0,App,Activo,NO APLICA,NO,2025-02-09,VALIDADO - HISTÓRICO DISPONIBLE
C001542,Cliente 1542,PREMIUM,Cuenca,53,3559.57,Tarjeta de Crédito,4826.88,8900.0,2026-09-19,2026-03-17,EDUCATION,287.39,App,Activo,CON CUPO,SI,2025-01-14,VALIDADO - HISTÓRICO DISPONIBLE
C002200,Cliente 2200,PREMIUM,Ambato,32,4968.54,Tarjeta de Crédito,4787.44,9900.0,2028-07-05,2025-06-02,EDUCATION,103.3,POS,Activo,CON CUPO,SI,2025-06-02,VALIDADO - HISTÓRICO DISPONIBLE
C000594,Cliente 0594,MASS,Guayaquil,49,973.26,Tarjeta de Crédito,284.24,2500.0,2030-07-07,2025-09-30,TRAVEL,180.24,POS,Activo,CON CUPO,SI,2025-01-20,VALIDADO - HISTÓRICO DISPONIBLE
C002138,Cliente 2138,MASS,Quito,25,1093.98,Tarjeta de Crédito,1061.19,2200.0,2029-07-10,2025-03-01,ENTERTAINMENT,36.74,Branch,Activo,CON CUPO,SI,2025-01-20,VALIDADO - HISTÓRICO DISPONIBLE
C000169,Cliente 0169,PYME,Quito,23,4894.01,Crédito Hipotecario,90392.84,,2028-12-29,2026-05-07,NO APLICA,0.0,Web,Activo,NO APLICA,SI,2025-04-13,VALIDADO - HISTÓRICO DISPONIBLE
C000620,Cliente 0620,PREMIUM,Quito,48,5739.22,Tarjeta de Crédito,4651.91,8700.0,2026-09-25,2025-09-24,TECHNOLOGY,930.75,App,Activo,CON CUPO,SI,2025-05-03,VALIDADO - HISTÓRICO DISPONIBLE
C000543,Cliente 0543,MASS,Guayaquil,36,778.05,Tarjeta de Crédito,0.0,1200.0,2028-02-16,2025-09-22,OTHERS,118.35,POS,Activo,CON CUPO,SI,2025-02-28,VALIDADO - HISTÓRICO DISPONIBLE
C000612,Cliente 0612,PREMIUM,Manta,57,3765.71,Tarjeta de Crédito,1417.35,5700.0,2027-11-24,2025-12-20,TRAVEL,109.27,POS,Activo,CON CUPO,SI,2025-04-28,VALIDADO - HISTÓRICO DISPONIBLE
C000279,Cliente 0279,MASS,Cuenca,45,762.11,Crédito de Consumo,4147.06,,2028-02-18,2025-08-27,NO APLICA,0.0,Web,Activo,NO APLICA,SI,2025-08-27,VALIDADO - HISTÓRICO DISPONIBLE
C002154,Cliente 2154,AFFLUENT,Guayaquil,29,3785.79,Tarjeta de Crédito,256.5,7200.0,2030-01-06,2025-01-26,TRAVEL,63.87,App,Activo,CON CUPO,SI,2025-01-12,VALIDADO - HISTÓRICO DISPONIBLE
C000359,Cliente 0359,MASS,Quito,43,851.19,Crédito Vehicular,26843.0,,2026-11-28,2026-03-03,NO APLICA,0.0,Branch,Activo,NO APLICA,SI,2025-08-01,VALIDADO - HISTÓRICO DISPONIBLE
C001916,Cliente 1916,JOVEN,Quito,45,756.48,Tarjeta de Crédito,170.99,1100.0,2029-06-26,2026-07-03,FOOD,57.59,Web,Activo,CON CUPO,SI,2025-02-24,VALIDADO - HISTÓRICO DISPONIBLE
C001237,Cliente 1237,MASS,Quito,39,574.32,Tarjeta de Crédito,844.27,1600.0,2027-07-19,2025-09-06,HEALTH,37.44,POS,Activo,CON CUPO,SI,2025-08-17,VALIDADO - HISTÓRICO DISPONIBLE
C000634,Cliente 0634,JOVEN,Guayaquil,25,1043.27,Tarjeta de Crédito,1805.16,3000.0,2029-03-07,2025-09-06,TRAVEL,29.84,App,Activo,CON CUPO,SI,2025-01-24,VALIDADO - HISTÓRICO DISPONIBLE
C001966,Cliente 1966,PYME,Guayaquil,34,3805.86,Tarjeta de Crédito,7142.21,10300.0,2029-05-08,2025-02-20,SUPERMARKET,934.41,ATM,Activo,CON CUPO,SI,2025-01-22,VALIDADO - HISTÓRICO DISPONIBLE
C000440,Cliente 0440,MASS,Cuenca,48,754.17,Cuenta Corriente,3031.66,,,2025-05-13,NO APLICA,0.0,App,Activo,NO APLICA,NO,2025-02-27,VALIDADO - HISTÓRICO DISPONIBLE
C001995,Cliente 1995,MASS,Loja,54,749.89,Tarjeta de Crédito,406.04,1600.0,2028-06-21,2026-06-24,SUPERMARKET,36.18,POS,Activo,CON CUPO,SI,2025-02-01,VALIDADO - HISTÓRICO DISPONIBLE
C001907,Cliente 1907,JOVEN,Manta,32,434.63,Tarjeta de Crédito,64.63,500.0,2028-08-01,2026-01-21,TRAVEL,14.18,App,Activo,CON CUPO,SI,2025-01-15,VALIDADO - HISTÓRICO DISPONIBLE
C001497,Cliente 1497,JOVEN,Quito,36,481.75,Tarjeta de Crédito,951.39,1200.0,2027-01-24,2026-05-16,ENTERTAINMENT,57.78,Web,Activo,CON CUPO,SI,2025-01-29,VALIDADO - HISTÓRICO DISPONIBLE
